事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
R00544,2020_05271400豪雨,2020,2020/05/27 14:00,2020/05/28 02:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:11,已下載
R00543,2020_05270505豪雨,2020,2020/05/27 05:25,2020/05/27 11:25,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:41:13,已下載
R00542,2020_05211350豪雨,2020,2020/05/22 03:50,2020/05/23 03:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:15,已下載
B01575,2020_05201530大雨,2020,2020/05/21 00:40,2020/05/21 12:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:16,已下載
R00541,2020_05190715豪雨,2020,2020/05/19 07:15,2020/05/20 07:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:18,已下載
B01574,2020_05180850大雨,2020,2020/05/18 19:30,2020/05/19 07:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:20,已下載
T2001,黃蜂颱風,2020,2020/05/16 11:30,2020/05/16 23:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:22,已下載
T1918,米塔颱風,2019,2019/09/29 19:00,2019/09/30 19:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:24,已下載
T1911,白鹿颱風,2019,2019/08/24 08:21,2019/08/25 08:21,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:26,已下載
R00512,2019_08151030豪雨,2019,2019/08/15 10:40,2019/08/16 10:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:28,已下載
R00510,2019_08130220豪雨,2019,2019/08/13 02:20,2019/08/14 02:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:30,已下載
T1909,利奇馬颱風,2019,2019/08/09 04:40,2019/08/10 04:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:32,已下載
B01482,2019_08071455大雨,2019,2019/08/07 16:15,2019/08/07 17:15,"事件總累計,連續1小時",2026-09-11 09:41:34,已下載
T1905,丹娜絲颱風,2019,2019/07/18 21:50,2019/07/19 21:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:36,已下載
R00484,2019_06131635豪雨,2019,2019/06/13 22:05,2019/06/14 10:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:38,已下載
R00483,2019_06101950豪雨,2019,2019/06/11 05:00,2019/06/12 05:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:40,已下載
B01426,2019_06101225大雨,2019,2019/06/10 12:25,2019/06/10 18:25,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:41:41,已下載
